Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Business Confidence,1985-01-31T00:00:00,-0.2,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-02-28T00:00:00,-0.21,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-03-31T00:00:00,-0.3,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-04-30T00:00:00,-0.26,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-05-31T00:00:00,-0.13,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-06-30T00:00:00,-0.16,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-07-31T00:00:00,-0.12,Monthly,EUESEMU,2024-04-29T10:45:00
Euro Area,Business Confidence,1985-08-31T00:00:00,-0.12,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-09-30T00:00:00,-0.12,Monthly,EUESEMU,2022-09-29T09:28:00
Euro Area,Business Confidence,1985-10-31T00:00:00,-0.03,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-11-30T00:00:00,-0.14,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1985-12-31T00:00:00,-0.19,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-01-31T00:00:00,-0.25,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-02-28T00:00:00,-0.23,Monthly,EUESEMU,2023-10-30T11:58:00
Euro Area,Business Confidence,1986-03-31T00:00:00,-0.21,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-04-30T00:00:00,-0.29,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-05-31T00:00:00,-0.23,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-06-30T00:00:00,-0.28,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-07-31T00:00:00,-0.29,Monthly,EUESEMU,2024-02-28T10:21:00
Euro Area,Business Confidence,1986-08-31T00:00:00,-0.32,Monthly,EUESEMU,2023-08-31T20:16:00
Euro Area,Business Confidence,1986-09-30T00:00:00,-0.34,Monthly,EUESEMU,2024-04-29T10:45:00
Euro Area,Business Confidence,1986-10-31T00:00:00,-0.43,Monthly,EUESEMU,2023-01-30T11:08:00
