Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Balance of Trade,1999-01-31T00:00:00,-2652.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-02-28T00:00:00,1872.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-03-31T00:00:00,2681.7,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-04-30T00:00:00,2067.2,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-05-31T00:00:00,-873.9,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-06-30T00:00:00,5554.2,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-07-31T00:00:00,9621.7,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-08-31T00:00:00,549.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-09-30T00:00:00,-964.7,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-10-31T00:00:00,3373,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-11-30T00:00:00,629.2,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,1999-12-31T00:00:00,244.2,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-01-31T00:00:00,-7845.4,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-02-29T00:00:00,-2503,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-03-31T00:00:00,-616.2,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-04-30T00:00:00,-2352.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-05-31T00:00:00,-3639.6,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-06-30T00:00:00,-1847.4,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-07-31T00:00:00,1663.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-08-31T00:00:00,-3678.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-09-30T00:00:00,-3751,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-10-31T00:00:00,-2416.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-11-30T00:00:00,-3683,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2000-12-31T00:00:00,-3394.1,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-01-31T00:00:00,-7466,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-02-28T00:00:00,15.4,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-03-31T00:00:00,1932.5,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-04-30T00:00:00,-1187.6,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-05-31T00:00:00,525.4,Monthly,XTTBEZ,2016-05-17T11:37:00
Euro Area,Balance of Trade,2001-06-30T00:00:00,3813.2,Monthly,XTTBEZ,2016-05-17T11:37:00
