Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Current Account,1999-01-31T00:00:00,-8.97,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-02-28T00:00:00,-3.02,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-03-31T00:00:00,2.84,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-04-30T00:00:00,3.04,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-05-31T00:00:00,-8.24,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-06-30T00:00:00,2.4,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-07-31T00:00:00,4.9,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-08-31T00:00:00,-4.44,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-09-30T00:00:00,-8.4,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-10-31T00:00:00,-3.68,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-11-30T00:00:00,-8.37,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,1999-12-31T00:00:00,-1.92,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-01-31T00:00:00,-14.25,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-02-29T00:00:00,-6.85,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-03-31T00:00:00,-0.82,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-04-30T00:00:00,-9.3,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-05-31T00:00:00,-14.72,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-06-30T00:00:00,-6.27,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-07-31T00:00:00,-2.26,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-08-31T00:00:00,-10.45,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-09-30T00:00:00,-12.32,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-10-31T00:00:00,-7.95,Monthly,EUCQCA11,2017-04-21T09:10:00
Euro Area,Current Account,2000-11-30T00:00:00,-11.99,Monthly,EUCQCA11,2017-04-21T09:10:00
