Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro area,Current Account Goods,1999-01-31T00:00:00,-1.5,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-02-28T00:00:00,3.62,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-03-31T00:00:00,5.47,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-04-30T00:00:00,3.95,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-05-31T00:00:00,1.61,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-06-30T00:00:00,6.97,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-07-31T00:00:00,10.68,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-08-31T00:00:00,1.56,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-09-30T00:00:00,1.25,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-10-31T00:00:00,4.27,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-11-30T00:00:00,0.79,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,1999-12-31T00:00:00,1.62,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-01-31T00:00:00,-5.64,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-02-29T00:00:00,-1.65,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-03-31T00:00:00,0.44,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-04-30T00:00:00,-0.77,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-05-31T00:00:00,-1.51,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-06-30T00:00:00,0.43,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-07-31T00:00:00,3.39,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-08-31T00:00:00,-1.85,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-09-30T00:00:00,-1.36,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-10-31T00:00:00,-0.01,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-11-30T00:00:00,-2.83,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2000-12-31T00:00:00,-0.66,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-01-31T00:00:00,-5.57,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-02-28T00:00:00,1.45,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-03-31T00:00:00,3.93,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-04-30T00:00:00,1.09,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-05-31T00:00:00,1.68,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-06-30T00:00:00,6.08,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-07-31T00:00:00,8.2,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-08-31T00:00:00,5.57,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-09-30T00:00:00,4.38,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-10-31T00:00:00,9.5,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-11-30T00:00:00,6.79,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2001-12-31T00:00:00,8.51,Monthly,EURCAG,2023-01-20T10:25:00
Euro area,Current Account Goods,2002-01-31T00:00:00,1.51,Monthly,EURCAG,2023-01-20T10:25:00
