Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro area,Current Account Services,1999-01-31T00:00:00,-1.4035,Monthly,EURCAS,2023-08-22T08:24:00
Euro area,Current Account Services,1999-02-28T00:00:00,-0.0725,Monthly,EURCAS,2023-08-22T08:24:00
Euro area,Current Account Services,1999-03-31T00:00:00,-0.6948,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-04-30T00:00:00,0.8476,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-05-31T00:00:00,1.7421,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-06-30T00:00:00,1.2114,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-07-31T00:00:00,0.3906,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-08-31T00:00:00,0.8628,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-09-30T00:00:00,0.4124,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-10-31T00:00:00,0.9407,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-11-30T00:00:00,-1.641,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,1999-12-31T00:00:00,-0.0625,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-01-31T00:00:00,-1.534,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-02-29T00:00:00,-0.749,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-03-31T00:00:00,0.3998,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-04-30T00:00:00,0.1131,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-05-31T00:00:00,1.0227,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-06-30T00:00:00,1.7381,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-07-31T00:00:00,2.3073,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-08-31T00:00:00,0.7648,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-09-30T00:00:00,0.2157,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-10-31T00:00:00,0.1997,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-11-30T00:00:00,0.1918,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2000-12-31T00:00:00,-0.7026,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-01-31T00:00:00,-2.7406,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-02-28T00:00:00,0.0904,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-03-31T00:00:00,-1.0769,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-04-30T00:00:00,1.2018,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-05-31T00:00:00,2.5409,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-06-30T00:00:00,2.3831,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-07-31T00:00:00,2.8465,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-08-31T00:00:00,1.0793,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-09-30T00:00:00,1.2928,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-10-31T00:00:00,0.9517,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-11-30T00:00:00,-0.8586,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2001-12-31T00:00:00,3.2551,Monthly,EURCAS,2024-03-21T09:18:00
Euro area,Current Account Services,2002-01-31T00:00:00,-0.3543,Monthly,EURCAS,2024-03-21T09:18:00
