Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Exports,1999-01-31T00:00:00,53045.9,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-02-28T00:00:00,58934.3,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-03-31T00:00:00,71490.4,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-04-30T00:00:00,64361.6,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-05-31T00:00:00,62271.4,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-06-30T00:00:00,71965.7,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-07-31T00:00:00,74655.1,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-08-31T00:00:00,59895.4,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-09-30T00:00:00,70787.2,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-10-31T00:00:00,74954,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-11-30T00:00:00,76007.9,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,1999-12-31T00:00:00,74938.8,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-01-31T00:00:00,65457.3,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-02-29T00:00:00,74302.1,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-03-31T00:00:00,86628,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-04-30T00:00:00,72181.2,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-05-31T00:00:00,87005.8,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-06-30T00:00:00,83119.3,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-07-31T00:00:00,83145.1,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-08-31T00:00:00,77163.4,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-09-30T00:00:00,86727.5,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-10-31T00:00:00,94841.6,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-11-30T00:00:00,95157.6,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2000-12-31T00:00:00,85795.3,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2001-01-31T00:00:00,81972.6,Monthly,XTTXEZ,2016-05-17T11:40:00
Euro Area,Exports,2001-02-28T00:00:00,83491.7,Monthly,XTTXEZ,2016-05-17T11:40:00
