Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Imports,1999-01-31T00:00:00,55698.4,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-02-28T00:00:00,57061.8,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-03-31T00:00:00,68808.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-04-30T00:00:00,62294.5,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-05-31T00:00:00,63145.3,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-06-30T00:00:00,66411.5,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-07-31T00:00:00,65033.4,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-08-31T00:00:00,59345.8,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-09-30T00:00:00,71751.9,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-10-31T00:00:00,71581,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-11-30T00:00:00,75378.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,1999-12-31T00:00:00,74694.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-01-31T00:00:00,73302.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-02-29T00:00:00,76805.1,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-03-31T00:00:00,87244.2,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-04-30T00:00:00,74533.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-05-31T00:00:00,90645.5,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-06-30T00:00:00,84966.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-07-31T00:00:00,81481.6,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-08-31T00:00:00,80841.9,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-09-30T00:00:00,90478.5,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-10-31T00:00:00,97258.1,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-11-30T00:00:00,98840.6,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2000-12-31T00:00:00,89189.4,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-01-31T00:00:00,89438.6,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-02-28T00:00:00,83476.3,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-03-31T00:00:00,92782,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-04-30T00:00:00,84802.1,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-05-31T00:00:00,89536.3,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-06-30T00:00:00,87732.2,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-07-31T00:00:00,84797.6,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-08-31T00:00:00,77307.4,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-09-30T00:00:00,79459.1,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-10-31T00:00:00,88654.7,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-11-30T00:00:00,85918.8,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2001-12-31T00:00:00,75129.4,Monthly,XTTIEZ,2016-05-17T11:40:00
Euro Area,Imports,2002-01-31T00:00:00,81462.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-02-28T00:00:00,78786.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-03-31T00:00:00,83675,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-04-30T00:00:00,87583.8,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-05-31T00:00:00,84165.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-06-30T00:00:00,81214.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-07-31T00:00:00,82793.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-08-31T00:00:00,73247.3,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-09-30T00:00:00,81839.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-10-31T00:00:00,91219.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-11-30T00:00:00,85392.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2002-12-31T00:00:00,79333.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-01-31T00:00:00,85526.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-02-28T00:00:00,80638.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-03-31T00:00:00,87492.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-04-30T00:00:00,84614.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-05-31T00:00:00,81918.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-06-30T00:00:00,79935.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-07-31T00:00:00,81055.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-08-31T00:00:00,69969.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-09-30T00:00:00,84386.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-10-31T00:00:00,90042.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-11-30T00:00:00,84737.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2003-12-31T00:00:00,84177.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-01-31T00:00:00,80566.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-02-29T00:00:00,81209.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-03-31T00:00:00,92722.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-04-30T00:00:00,90020.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-05-31T00:00:00,87260,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-06-30T00:00:00,93826.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-07-31T00:00:00,89304.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-08-31T00:00:00,84351.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-09-30T00:00:00,96541.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-10-31T00:00:00,97691.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-11-30T00:00:00,100717.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2004-12-31T00:00:00,93914.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-01-31T00:00:00,90341.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-02-28T00:00:00,89043.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-03-31T00:00:00,100452.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-04-30T00:00:00,101792.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-05-31T00:00:00,100211.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-06-30T00:00:00,103361.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-07-31T00:00:00,100153.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-08-31T00:00:00,102130.3,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-09-30T00:00:00,111417.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-10-31T00:00:00,110731.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-11-30T00:00:00,117364.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2005-12-31T00:00:00,112913.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-01-31T00:00:00,112864.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-02-28T00:00:00,110150,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-03-31T00:00:00,124557.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-04-30T00:00:00,111916.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-05-31T00:00:00,122735.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-06-30T00:00:00,119729,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-07-31T00:00:00,114651.8,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-08-31T00:00:00,114046.8,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-09-30T00:00:00,121099.2,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-10-31T00:00:00,126070.8,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2006-11-30T00:00:00,126360.2,Monthly,XTTIEZ,2024-04-16T09:42:00
Euro Area,Imports,2006-12-31T00:00:00,116410.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-01-31T00:00:00,122544.8,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-02-28T00:00:00,119995.3,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-03-31T00:00:00,127261,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-04-30T00:00:00,120294,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-05-31T00:00:00,125903.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-06-30T00:00:00,125015.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-07-31T00:00:00,128379.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-08-31T00:00:00,120979.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-09-30T00:00:00,125289.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-10-31T00:00:00,138898.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-11-30T00:00:00,136498.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2007-12-31T00:00:00,123563.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-01-31T00:00:00,139544.3,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-02-29T00:00:00,132179,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-03-31T00:00:00,132928.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-04-30T00:00:00,140590.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-05-31T00:00:00,135657.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-06-30T00:00:00,140541.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-07-31T00:00:00,149061.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-08-31T00:00:00,129062.1,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-09-30T00:00:00,145365.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-10-31T00:00:00,144180.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-11-30T00:00:00,129436.4,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2008-12-31T00:00:00,116300.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-01-31T00:00:00,107485.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-02-28T00:00:00,103398.6,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-03-31T00:00:00,110789.3,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-04-30T00:00:00,102576.5,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-05-31T00:00:00,99063.9,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-06-30T00:00:00,105013.7,Monthly,XTTIEZ,2023-04-20T09:31:00
Euro Area,Imports,2009-07-31T00:00:00,106439.4,Monthly,XTTIEZ,2023-04-20T09:31:00
