Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Money Supply M1,1980-01-31T00:00:00,444330,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-02-29T00:00:00,447116,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-03-31T00:00:00,451370,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-04-30T00:00:00,453226,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-05-31T00:00:00,455917,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-06-30T00:00:00,458753,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-07-31T00:00:00,464938,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-08-31T00:00:00,465216,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-09-30T00:00:00,466718,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-10-31T00:00:00,473228,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-11-30T00:00:00,476657,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1980-12-31T00:00:00,473379,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-01-31T00:00:00,476622,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-02-28T00:00:00,480316,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-03-31T00:00:00,481349,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-04-30T00:00:00,482746,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-05-31T00:00:00,486588,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-06-30T00:00:00,487093,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-07-31T00:00:00,488660,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-08-31T00:00:00,489042,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-09-30T00:00:00,493362,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-10-31T00:00:00,494975,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-11-30T00:00:00,497550,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1981-12-31T00:00:00,499258,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-01-31T00:00:00,504513,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-02-28T00:00:00,507652,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-03-31T00:00:00,512323,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-04-30T00:00:00,517834,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-05-31T00:00:00,519493,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-06-30T00:00:00,525037,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-07-31T00:00:00,527685,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-08-31T00:00:00,534112,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-09-30T00:00:00,537908,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-10-31T00:00:00,540880,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-11-30T00:00:00,548081,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1982-12-31T00:00:00,551435,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-01-31T00:00:00,556058,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-02-28T00:00:00,561066,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-03-31T00:00:00,564440,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-04-30T00:00:00,569885,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-05-31T00:00:00,574912,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-06-30T00:00:00,581509,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-07-31T00:00:00,586440,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-08-31T00:00:00,589345,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-09-30T00:00:00,590795,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-10-31T00:00:00,593003,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-11-30T00:00:00,597800,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1983-12-31T00:00:00,603201,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1984-01-31T00:00:00,605312,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1984-02-29T00:00:00,607750,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1984-03-31T00:00:00,610604,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
Euro Area,Money Supply M1,1984-04-30T00:00:00,613037,Monthly,EMUEVOLVMONSUPM1,2020-01-03T10:19:00
