Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Economic Optimism Index,1985-01-31T00:00:00,93.8,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1985-02-28T00:00:00,92.5,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1985-03-31T00:00:00,90.4,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1985-04-30T00:00:00,91.5,Monthly,EUROAREAECOOPTIND,2023-03-30T11:08:00
Euro Area,Economic Optimism Index,1985-05-31T00:00:00,92.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1985-06-30T00:00:00,92.3,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1985-07-31T00:00:00,92.6,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1985-08-31T00:00:00,93.5,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1985-09-30T00:00:00,95.9,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1985-10-31T00:00:00,96.8,Monthly,EUROAREAECOOPTIND,2023-09-28T09:16:00
Euro Area,Economic Optimism Index,1985-11-30T00:00:00,97.4,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1985-12-31T00:00:00,96.4,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-01-31T00:00:00,97.9,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-02-28T00:00:00,98.9,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1986-03-31T00:00:00,99,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-04-30T00:00:00,98.5,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-05-31T00:00:00,98.6,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-06-30T00:00:00,99.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-07-31T00:00:00,99.9,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-08-31T00:00:00,100.8,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1986-09-30T00:00:00,100.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-10-31T00:00:00,100,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-11-30T00:00:00,100,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1986-12-31T00:00:00,100.6,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-01-31T00:00:00,99.3,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-02-28T00:00:00,97.8,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-03-31T00:00:00,99.3,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1987-04-30T00:00:00,99.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-05-31T00:00:00,100.3,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-06-30T00:00:00,98.9,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1987-07-31T00:00:00,100,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-08-31T00:00:00,101.8,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-09-30T00:00:00,103.3,Monthly,EUROAREAECOOPTIND,2024-02-28T10:15:00
Euro Area,Economic Optimism Index,1987-10-31T00:00:00,103.2,Monthly,EUROAREAECOOPTIND,2023-03-30T11:08:00
Euro Area,Economic Optimism Index,1987-11-30T00:00:00,102.4,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1987-12-31T00:00:00,102.3,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-01-31T00:00:00,103,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-02-29T00:00:00,102.9,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-03-31T00:00:00,104.5,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-04-30T00:00:00,105.6,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-05-31T00:00:00,105.6,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-06-30T00:00:00,107.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-07-31T00:00:00,107.5,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
Euro Area,Economic Optimism Index,1988-08-31T00:00:00,108.7,Monthly,EUROAREAECOOPTIND,2024-01-30T11:09:00
