Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Services Sentiment,1995-04-30T00:00:00,19.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-05-31T00:00:00,18.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-06-30T00:00:00,21,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-07-31T00:00:00,23.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-08-31T00:00:00,19.3,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-09-30T00:00:00,18.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-10-31T00:00:00,17.9,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-11-30T00:00:00,12.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1995-12-31T00:00:00,12.9,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-01-31T00:00:00,15.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-02-29T00:00:00,11.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-03-31T00:00:00,10.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-04-30T00:00:00,11,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-05-31T00:00:00,10.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-06-30T00:00:00,10.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-07-31T00:00:00,11.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-08-31T00:00:00,14.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-09-30T00:00:00,16.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-10-31T00:00:00,19.3,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-11-30T00:00:00,23,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1996-12-31T00:00:00,24.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-01-31T00:00:00,18.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-02-28T00:00:00,22.4,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-03-31T00:00:00,24.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-04-30T00:00:00,22.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-05-31T00:00:00,26.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-06-30T00:00:00,24.4,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-07-31T00:00:00,22.9,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-08-31T00:00:00,26.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-09-30T00:00:00,26.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-10-31T00:00:00,26.3,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-11-30T00:00:00,29.3,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1997-12-31T00:00:00,29.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-01-31T00:00:00,29.1,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-02-28T00:00:00,32.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-03-31T00:00:00,34,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-04-30T00:00:00,29.1,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-05-31T00:00:00,31,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-06-30T00:00:00,33.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-07-31T00:00:00,31.7,Monthly,EUROAREASERSEN,2023-01-30T10:58:00
Euro Area,Services Sentiment,1998-08-31T00:00:00,34.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-09-30T00:00:00,33.5,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-10-31T00:00:00,31.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-11-30T00:00:00,34.8,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1998-12-31T00:00:00,34.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-01-31T00:00:00,27.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-02-28T00:00:00,29.6,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-03-31T00:00:00,29.1,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-04-30T00:00:00,21.2,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-05-31T00:00:00,24,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-06-30T00:00:00,23.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-07-31T00:00:00,20.6,Monthly,EUROAREASERSEN,2023-01-30T10:58:00
Euro Area,Services Sentiment,1999-08-31T00:00:00,21.7,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
Euro Area,Services Sentiment,1999-09-30T00:00:00,25.1,Monthly,EUROAREASERSEN,2024-01-30T11:21:00
